model,question,rouge1,rouge2,rougeL
llama,What diet should I follow immediately after heart surgery?,0.3146067415730337,0.10566037735849056,0.16479400749063672
llama,When can I start exercising after knee replacement surgery?,0.2926829268292682,0.07881773399014778,0.1268292682926829
llama,How should I care for my surgical incision after gallbladder removal?,0.3876651982378855,0.19555555555555557,0.2026431718061674
llama,What is normal pain level after shoulder surgery and how should I manage it?,0.319327731092437,0.0847457627118644,0.18487394957983191
llama,How long should I wait to drive after abdominal surgery?,0.20553359683794464,0.04780876494023905,0.11067193675889328
llama,When can I return to work after bypass surgery?,0.2320441988950276,0.0670391061452514,0.1767955801104972
llama,What sleeping position is best after hip replacement?,0.30697674418604654,0.12206572769953052,0.20465116279069764
llama,How soon can I shower after spinal surgery?,0.23333333333333334,0.011235955056179775,0.1111111111111111
llama,What signs of infection should I watch for after surgery?,0.25698324022346375,0.07909604519774012,0.1564245810055866
llama,When can I resume sexual activity after heart surgery?,0.22304832713754646,0.04494382022471911,0.14126394052044608
llama,What breathing exercises should I do after lung surgery?,0.2677824267782427,0.04219409282700422,0.100418410041841
llama,How should I manage constipation after surgery?,0.1711229946524064,0.021621621621621623,0.07486631016042782
llama,What activities should I avoid after cataract surgery?,0.15094339622641506,0.009523809523809523,0.08490566037735849
llama,How do I prevent blood clots after surgery?,0.21399176954732513,0.024896265560165977,0.10699588477366256
llama,When can I go up and down stairs after knee surgery?,0.17100371747211895,0.014981273408239699,0.08921933085501858
llama,What medications can I take for pain after surgery?,0.25,0.010526315789473684,0.125
llama,How long will swelling last after surgery?,0.2328042328042328,0.0213903743315508,0.14814814814814814
llama,When can I start weight training after hernia surgery?,0.17297297297297295,0.0,0.0972972972972973
llama,What should I eat to promote healing after surgery?,0.32888888888888884,0.06278026905829596,0.17777777777777776
llama,How do I prevent nausea after anesthesia?,0.1501706484641638,0.020618556701030924,0.0750853242320819
llama,When can I resume normal bathing after surgery?,0.22641509433962267,0.01904761904761905,0.1037735849056604
llama,How do I manage diabetes after surgery?,0.1890909090909091,0.036630036630036625,0.12363636363636363
llama,What can I do about insomnia after surgery?,0.192,0.04032258064516129,0.11200000000000002
llama,When should I call the doctor after surgery?,0.24175824175824173,0.01111111111111111,0.13186813186813187
llama,How do I prevent pneumonia after surgery?,0.11650485436893203,0.029411764705882356,0.07766990291262135
llama,What should my activity level be first week after surgery?,0.18627450980392157,0.029702970297029698,0.06862745098039215
llama,How do I care for surgical drains?,0.29545454545454547,0.022900763358778626,0.11363636363636365
llama,When can I wear regular clothes after surgery?,0.27932960893854747,0.056497175141242945,0.1229050279329609
llama,How do I manage muscle spasms after back surgery?,0.112,0.03225806451612903,0.07200000000000001
llama,What vitamin supplements should I take after surgery?,0.1581395348837209,0.0187793427230047,0.0744186046511628
mistral,What diet should I follow immediately after heart surgery?,0.2857142857142857,0.06511627906976744,0.1935483870967742
mistral,When can I start exercising after knee replacement surgery?,0.33170731707317075,0.1083743842364532,0.13658536585365855
mistral,How should I care for my surgical incision after gallbladder removal?,0.26556016597510373,0.06694560669456066,0.12448132780082988
mistral,What is normal pain level after shoulder surgery and how should I manage it?,0.3333333333333333,0.029702970297029705,0.15686274509803924
mistral,How long should I wait to drive after abdominal surgery?,0.23595505617977527,0.034090909090909095,0.1348314606741573
mistral,When can I return to work after bypass surgery?,0.33160621761658027,0.06282722513089005,0.17616580310880828
mistral,What sleeping position is best after hip replacement?,0.43979057591623044,0.25396825396825395,0.31413612565445026
mistral,How soon can I shower after spinal surgery?,0.2105263157894737,0.015267175572519085,0.13533834586466165
mistral,What signs of infection should I watch for after surgery?,0.35526315789473684,0.06666666666666667,0.2236842105263158
mistral,When can I resume sexual activity after heart surgery?,0.2767295597484277,0.050955414012738856,0.13836477987421386
mistral,What breathing exercises should I do after lung surgery?,0.3096774193548387,0.0392156862745098,0.14193548387096774
mistral,How should I manage constipation after surgery?,0.31527093596059114,0.07960199004975124,0.11822660098522167
mistral,What activities should I avoid after cataract surgery?,0.3070866141732283,0.05555555555555555,0.1732283464566929
mistral,How do I prevent blood clots after surgery?,0.10619469026548672,0.0,0.061946902654867256
mistral,When can I go up and down stairs after knee surgery?,0.18604651162790695,0.0,0.09302325581395347
mistral,What medications can I take for pain after surgery?,0.31818181818181823,0.06422018348623852,0.15454545454545454
mistral,How long will swelling last after surgery?,0.20792079207920794,0.049999999999999996,0.12871287128712872
mistral,When can I start weight training after hernia surgery?,0.2151898734177215,0.0,0.1139240506329114
mistral,What should I eat to promote healing after surgery?,0.2260869565217391,0.02631578947368421,0.10434782608695652
mistral,How do I prevent nausea after anesthesia?,0.13215859030837002,0.008888888888888889,0.07929515418502203
mistral,When can I resume normal bathing after surgery?,0.2638888888888889,0.028169014084507043,0.15277777777777776
mistral,How do I manage diabetes after surgery?,0.25833333333333336,0.04201680672268907,0.10833333333333332
mistral,What can I do about insomnia after surgery?,0.30687830687830686,0.0748663101604278,0.16931216931216933
mistral,When should I call the doctor after surgery?,0.22660098522167488,0.009950248756218905,0.14778325123152708
mistral,How do I prevent pneumonia after surgery?,0.19999999999999996,0.03508771929824561,0.09565217391304348
mistral,What should my activity level be first week after surgery?,0.22568093385214008,0.07843137254901962,0.1478599221789883
mistral,How do I care for surgical drains?,0.15384615384615385,0.0091324200913242,0.07239819004524888
mistral,When can I wear regular clothes after surgery?,0.32335329341317365,0.03636363636363636,0.11976047904191617
mistral,How do I manage muscle spasms after back surgery?,0.19574468085106383,0.042918454935622324,0.09361702127659574
mistral,What vitamin supplements should I take after surgery?,0.2818181818181818,0.027522935779816512,0.13636363636363635
phi2,What diet should I follow immediately after heart surgery?,0.2058823529411765,0.05940594059405941,0.11764705882352942
phi2,When can I start exercising after knee replacement surgery?,0.2185430463576159,0.046666666666666676,0.10596026490066225
phi2,How should I care for my surgical incision after gallbladder removal?,0.30882352941176466,0.0962962962962963,0.19117647058823528
phi2,What is normal pain level after shoulder surgery and how should I manage it?,0.2274247491638796,0.026936026936026935,0.1137123745819398
phi2,How long should I wait to drive after abdominal surgery?,0.1761006289308176,0.03164556962025316,0.0880503144654088
phi2,When can I return to work after bypass surgery?,0.21568627450980393,0.03289473684210527,0.0784313725490196
phi2,What sleeping position is best after hip replacement?,0.21965317919075142,0.011695906432748536,0.11560693641618497
phi2,How soon can I shower after spinal surgery?,0.18090452261306533,0.05076142131979696,0.09045226130653267
phi2,What signs of infection should I watch for after surgery?,0.1904761904761905,0.023999999999999997,0.12698412698412698
phi2,When can I resume sexual activity after heart surgery?,0.21256038647342992,0.04878048780487805,0.14492753623188404
phi2,What breathing exercises should I do after lung surgery?,0.16494845360824745,0.020761245674740487,0.07560137457044674
phi2,How should I manage constipation after surgery?,0.2948717948717949,0.025974025974025972,0.16666666666666666
phi2,What activities should I avoid after cataract surgery?,0.11764705882352941,0.018264840182648404,0.06334841628959277
phi2,How do I prevent blood clots after surgery?,0.1411764705882353,0.007905138339920948,0.07058823529411765
phi2,When can I go up and down stairs after knee surgery?,0.11560693641618497,0.0,0.08092485549132948
phi2,What medications can I take for pain after surgery?,0.19730941704035873,0.00904977375565611,0.09865470852017937
phi2,How long will swelling last after surgery?,0.1506276150627615,0.02531645569620253,0.08368200836820083
phi2,When can I start weight training after hernia surgery?,0.09478672985781991,0.009569377990430622,0.06635071090047394
phi2,What should I eat to promote healing after surgery?,0.21641791044776118,0.06015037593984962,0.08955223880597014
phi2,How do I prevent nausea after anesthesia?,0.12389380530973453,0.011869436201780416,0.07669616519174043
phi2,When can I resume normal bathing after surgery?,0.25,0.023622047244094488,0.10937499999999999
phi2,How do I manage diabetes after surgery?,0.15671641791044777,0.030075187969924814,0.08955223880597014
phi2,What can I do about insomnia after surgery?,0.26136363636363635,0.05747126436781609,0.15909090909090906
phi2,When should I call the doctor after surgery?,0.15602836879432624,0.007142857142857142,0.07092198581560283
phi2,How do I prevent pneumonia after surgery?,0.11029411764705882,0.022222222222222223,0.08823529411764706
